tier,n_reviews,doi,title,authors,journal,year,volume,page,type,citations,publisher,target_folder
B,3,10.1109/tpel.2019.2904551,"High-Accuracy Capacitance Monitoring of DC-Link Capacitor in VSI Systems by
                    LC
                    Resonance",Li Hao; Xiang Dawei; Han Xu; Zhong Xiang et al.,IEEE Transactions on Power Electronics,2019,34,12200-12211,journal-article,69,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/powereng.2015.7266382,Condition monitoring for DC-link capacitors based on artificial neural network algorithm,Soliman Hammam; Wang Huai; Gadalla Brwene; Blaabjerg Frede,"2015 IEEE 5th International Conference on Power Engineering, Energy and Electrical Drives (POWERENG)",2015,,587-591,proceedings-article,65,IEEE Xplore,05_DataDriven_AI
B,3,10.1109/tim.2009.2038018,Simple Experimental Techniques to Characterize Capacitors in a Wide Range of Frequencies and Temperatures,Amaral Acácio M. R.; Marques Cardoso A. J.,IEEE Transactions on Instrumentation and Measurement,2010,59,1258-1267,journal-article,60,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/tpel.2018.2868564,A Noninvasive Online Monitoring Method of Output Capacitor's C and ESR for DCM Flyback Converter,Yao Kai; Li Hui; Li Lei; Guan Chanbo et al.,IEEE Transactions on Power Electronics,2019,34,5748-5763,journal-article,53,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/ifeec.2017.7992442,Artificial Neural Network based DC-link capacitance estimation in a diode-bridge front-end inverter system,Soliman Hammam; Abdelsalam Ibrahim; Wang Huai; Blaabjerg Frede,2017 IEEE 3rd International Future Energy Electronics Conference and ECCE Asia (IFEEC 2017 - ECCE Asia),2017,,196-201,proceedings-article,51,IEEE Xplore,05_DataDriven_AI
B,3,10.1109/imtc.2006.328273,An Experimental Technique for Estimating the ESR and Reactance Intrinsic Values of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,2006 IEEE Instrumentation and Measurement Technology Conference Proceedings,2006,,1820-1825,proceedings-article,47,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/ccece.2015.7129353,Capacitor aging detection for the DC filters in the power electronic converters using ANFIS algorithm,Kamel Tamer; Biletskiy Yevgen; Chang Liuchen,2015 IEEE 28th Canadian Conference on Electrical and Computer Engineering (CCECE),2015,,663-668,proceedings-article,31,IEEE Xplore,02_Failure_Physics
B,3,10.1109/isie.2004.1572002,Use of ESR to predict failure of output filtering capacitors in boost converters,Amaral A.M.R.; Cardoso A.J.M.,2004 IEEE International Symposium on Industrial Electronics,2004,,1309-1314 vol. 2,proceedings-article,29,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/isie.2010.5637333,Estimating aluminum electrolytic capacitors condition using a low frequency transformer together with a DC power supply,Amaral Acacio M. R.; Marques Cardoso A. J.,2010 IEEE International Symposium on Industrial Electronics,2010,,815-820,proceedings-article,27,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/vppc.2012.6422642,Condition monitoring of DC-link capacitors in drive system for electric vehicles,Kim Myoungho; Sul Seung-Ki; Junggi Lee,2012 IEEE Vehicle Power and Propulsion Conference,2012,,633-637,proceedings-article,19,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/peds.2007.4487736,Using DFT to Obtain the Equivalent Circuit of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Buatti Gustavo M.; Ribeiro Hugo; Cardoso A.J. Marques,2007 7th International Conference on Power Electronics and Drive Systems,2007,,434-438,proceedings-article,14,MDPI,03_CM_ParameterEstimation
